cycle,time,U1,Avg_S11,Avg_SDV1,Avg_SDV15
1,0.9902578,-0.001948437537,333.2216187,0.005597596522,0
2,1.9902579,-0.001948437537,336.5193787,0.01277730055,0
3,2.9902577,-0.001948437537,336.5388184,0.01996727288,0
4,3.9902577,-0.001948437537,336.4801941,0.02715636604,0
5,4.9902577,-0.001948437537,336.4197388,0.0343443118,0
6,5.9902577,-0.001948437537,336.359314,0.04153110832,0
7,6.9902577,-0.001948437537,336.2988892,0.04871675,0
8,7.9902577,-0.001948437537,336.2384949,0.05590124428,0
9,8.9902582,-0.001948437537,336.1781616,0.06308458745,0
10,10,0,377.0350647,0.07026678324,0
